# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 860
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.29789 eV
194     0.000289       0.000001       0.000000       0.000000       0.000290       
tot     0.005029       0.000331       0.000350       0.000285       0.994000

Band 51   energy = -3.26882 eV
atom    s              p_x            p_y            p_z            tot            
19      0.000196       0.000000       0.000000       0.000016       0.000212       
32      0.000361       0.000000       0.000004       0.000000       0.000365       
59      0.000361       0.000004       0.000000       0.000000       0.000365       
107     0.000121       0.000000       0.000001       0.000064       0.000186       
201     0.000196       0.000000       0.000000       0.000000       0.000196       
214     0.001296       0.000000       0.000000       0.000000       0.001296       
tot     0.004760       0.000274       0.000286       0.000308       0.994000

Band 52   energy = -3.26880 eV
atom    s              p_x            p_y            p_z            tot            
15      0.000324       0.000009       0.000000       0.000000       0.000333       
17      0.000324       0.000000       0.000009       0.000000       0.000333       
42      0.000144       0.000000       0.000000       0.000001       0.000145       
71      0.000121       0.000000       0.000000       0.000000       0.000121       
158     0.000784       0.000004       0.000000       0.000000       0.000788       
181     0.000676       0.000000       0.000004       0.000000       0.000680       
tot     0.004701       0.000306       0.000300       0.000272       0.994000

Band 53   energy = -3.26718 eV
atom    s              p_x            p_y            p_z            tot            
87      0.000484       0.000004       0.000000       0.000000       0.000488       
89      0.000256       0.000000       0.000004       0.000000       0.000260       
102     0.000361       0.000000       0.000000       0.000001       0.000362       
118     0.000400       0.000000       0.000000       0.000001       0.000401       
128     0.000441       0.000001       0.000000       0.000000       0.000442       
184     0.000361       0.000009       0.000000       0.000000       0.000370       
tot     0.005013       0.000379       0.000459       0.000161       0.994000

Band 54   energy = -3.26717 eV
atom    s              p_x            p_y            p_z            tot            
91      0.000441       0.000000       0.000000       0.000004       0.000445       
98      0.000676       0.000000       0.000000       0.000004       0.000680       
117     0.000576       0.000000       0.000000       0.000004       0.000580       
129     0.000484       0.000000       0.000000       0.000001       0.000485       
205     0.000484       0.000000       0.000000       0.000009       0.000493       
210     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.005015       0.000325       0.000211       0.000503       0.994000

Band 55   energy = -3.26296 eV
atom    s              p_x            p_y            p_z            tot            
83      0.000289       0.000004       0.000000       0.000000       0.000293       
85      0.000289       0.000000       0.000004       0.000000       0.000293       
93      0.000289       0.000001       0.000000       0.000000       0.000290       
